GeneID,gene,index
1,A1BG,0
2,A2M,2
10,NAT2,5647
12,SERPINA3,7981
14,AAMP,9
15,AANAT,10
18,ABAT,17
19,ABCA1,18
20,ABCA2,19
22,ABCB7,25
23,ABCF1,36
25,ABL1,47
26,AOC1,437
27,ABL2,48
29,ABR,51
30,ACAA1,57
31,ACACA,59
32,ACACB,60
33,ACADL,64
34,ACADM,65
35,ACADS,66
36,ACADSB,67
37,ACADVL,68
38,ACAT1,70
39,ACAT2,71
40,ASIC2,644
41,ASIC1,643
43,ACHE,79
47,ACLY,84
48,ACO1,86
49,ACR,102
50,ACO2,87
51,ACOX1,96
52,ACP1,99
53,ACP2,100
54,ACP5,101
58,ACTA1,115
70,ACTC1,117
71,ACTG1,118
72,ACTG2,119
81,ACTN4,126
86,ACTL6A,120
87,ACTN1,123
88,ACTN2,124
89,ACTN3,125
90,ACVR1,137
91,ACVR1B,138
92,ACVR2A,140
93,ACVR2B,141
94,ACVRL1,142
95,ACY1,143
98,ACYP2,144
100,ADA,145
101,ADAM8,157
102,ADAM10,146
103,ADAR,173
107,ADCY1,174
108,ADCY2,176
109,ADCY3,177
111,ADCY5,178
112,ADCY6,179
113,ADCY7,180
114,ADCY8,181
115,ADCY9,182
116,ADCYAP1,183
118,ADD1,184
119,ADD2,185
120,ADD3,186
123,PLIN2,6666
124,ADH1A,195
125,ADH1B,196
126,ADH1C,197
127,ADH4,198
128,ADH5,199
131,ADH7,200
132,ADK,206
133,ADM,207
134,ADORA1,210
135,ADORA2A,211
136,ADORA2B,212
142,PARP1,6283
143,PARP4,6288
146,ADRA1D,216
147,ADRA1B,215
148,ADRA1A,214
150,ADRA2A,217
151,ADRA2B,218
152,ADRA2C,219
153,ADRB1,220
154,ADRB2,221
155,ADRB3,222
156,GRK2,3589
158,ADSL,224
160,AP2A1,451
161,AP2A2,452
162,AP1B1,443
163,AP2B1,453
164,AP1G1,444
175,AGA,232
176,ACAN,69
177,AGER,234
178,AGL,237
181,AGRP,253
182,JAG1,4349
183,AGT,254
185,AGTR1,255
186,AGTR2,256
187,APLNR,483
189,AGXT,258
190,NR0B1,5972
191,AHCY,261
196,AHR,266
197,AHSG,269
199,AIF1,272
204,AK2,282
205,AK4,284
207,AKT1,310
208,AKT2,312
210,ALAD,315
211,ALAS1,316
213,ALB,317
214,ALCAM,318
215,ABCD1,31
216,ALDH1A1,320
217,ALDH2,326
218,ALDH3A1,327
219,ALDH1B1,323
220,ALDH1A3,322
221,ALDH3B1,329
223,ALDH9A1,333
224,ALDH3A2,328
225,ABCD2,32
230,ALDOC,334
231,AKR1B1,302
238,ALK,347
239,ALOX12,356
240,ALOX5,359
241,ALOX5AP,360
246,ALOX15,357
247,ALOX15B,358
248,ALPI,362
249,ALPL,363
250,ALPP,364
251,ALPG,361
258,AMBN,369
259,AMBP,370
262,AMD1,372
265,AMELX,374
267,AMFR,375
268,AMH,376
269,AMHR2,377
270,AMPD1,381
272,AMPD3,382
273,AMPH,383
274,BIN1,913
275,AMT,384
276,AMY1A,386
277,AMY1B,387
278,AMY1C,388
283,ANG,399
284,ANGPT1,400
285,ANGPT2,401
286,ANK1,405
287,ANK2,406
288,ANK3,407
290,ANPEP,428
291,SLC25A4,8189
292,SLC25A5,8190
293,SLC25A6,8191
301,ANXA1,431
302,ANXA2,433
308,ANXA5,434
309,ANXA6,435
310,ANXA7,436
311,ANXA11,432
314,AOC2,438
316,AOX1,441
317,APAF1,467
318,NUDT2,6062
319,APOF,500
320,APBA1,468
322,APBB1,469
323,APBB2,471
324,APC,472
325,APCS,474
327,APEH,475
328,APEX1,476
329,BIRC2,915
330,BIRC3,916
331,XIAP,9855
332,BIRC5,917
333,APLP1,484
334,APLP2,485
335,APOA1,486
336,APOA2,487
337,APOA4,488
338,APOB,490
339,APOBEC1,491
341,APOC1,495
343,AQP8,518
344,APOC2,496
345,APOC3,497
346,APOC4,498
348,APOE,499
350,APOH,501
351,APP,506
353,APRT,509
354,KLK3,4581
355,FAS,2934
356,FASLG,2935
358,AQP1,511
359,AQP2,514
360,AQP3,515
361,AQP4,516
362,AQP5,517
367,AR,520
372,ARCN1,524
373,TRIM23,9312
377,ARF3,526
378,ARF4,527
379,ARL4D,601
381,ARF5,528
382,ARF6,529
383,ARG1,538
384,ARG2,539
387,RHOA,7498
388,RHOB,7499
389,RHOC,7503
390,RND3,7547
391,RHOG,7506
392,ARHGAP1,541
393,ARHGAP4,559
394,ARHGAP5,562
395,ARHGAP6,563
396,ARHGDIA,566
397,ARHGDIB,567
398,ARHGDIG,568
399,RHOH,7507
400,ARL1,596
402,ARL2,598
403,ARL3,600
405,ARNT,606
407,ARR3,616
408,ARRB1,617
409,ARRB2,618
410,ARSA,620
411,ARSB,621
412,STS,8688
419,ART3,625
427,ASAH1,626
429,ASCL1,634
430,ASCL2,635
432,ASGR1,639
433,ASGR2,640
435,ASL,646
440,ASNS,647
443,ASPA,648
444,ASPH,649
445,ASS1,653
462,SERPINC1,7993
463,ZFHX3,9935
466,ATF1,660
467,ATF3,662
468,ATF4,663
471,ATIC,684
472,ATM,687
473,RERE,7435
474,ATOH1,690
475,ATOX1,692
476,ATP1A1,697
477,ATP1A2,698
478,ATP1A3,699
479,ATP12A,695
480,ATP1A4,700
481,ATP1B1,701
482,ATP1B2,702
483,ATP1B3,703
486,FXYD2,3188
487,ATP2A1,706
488,ATP2A2,707
489,ATP2A3,708
490,ATP2B1,709
493,ATP2B4,710
495,ATP4A,711
496,ATP4B,712
498,ATP5F1A,713
506,ATP5F1B,714
509,ATP5F1C,715
513,ATP5F1D,716
514,ATP5F1E,717
515,ATP5PB,725
516,ATP5MC1,719
517,ATP5MC2,720
518,ATP5MC3,721
521,ATP5ME,722
522,ATP5PF,727
523,ATP6V1A,740
525,ATP6V1B1,741
526,ATP6V1B2,742
527,ATP6V0C,735
528,ATP6V1C1,743
529,ATP6V1E1,746
533,ATP6V0B,734
534,ATP6V1G2,750
535,ATP6V0A1,731
537,ATP6AP1,729
538,ATP7A,753
539,ATP5PO,728
540,ATP7B,754
545,ATR,760
546,ATRX,763
547,KIF1A,4507
549,AUH,770
550,AUP1,771
551,AVP,777
552,AVPR1A,778
553,AVPR1B,779
558,AXL,782
563,AZGP1,783
566,AZU1,787
570,BAAT,818
571,BACH1,822
